Number,Date,USD,EUR,GBP,CHF,JPY,CAD,AUD
1,11/02/2015,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,12/02/2015,0.989754,1.008131,1.009789,0.998667,1.010545,1.008618,1.004456
3,13/02/2015,0.988253,1.006364,1.010380,0.996780,1.012128,1.013495,1.003523
4,14/02/2015,0.989684,1.006364,1.010380,0.993895,1.010630,1.013145,1.003523
5,15/02/2015,0.986947,1.007786,1.010349,0.996780,1.013494,1.013072,1.005726
6,16/02/2015,0.986415,1.001949,1.007448,0.995957,1.014161,1.011415,1.004456
7,17/02/2015,0.991980,1.008200,1.007262,0.992052,1.008070,1.018255,1.011685
8,18/02/2015,0.987911,1.007786,1.012876,0.985986,1.012478,1.013007,1.011166
9,19/02/2015,0.990429,1.004842,1.011627,0.978166,1.009934,1.010144,1.009741
10,20/02/2015,0.990487,1.006100,1.010380,0.989874,1.009747,1.006815,1.015597
11,21/02/2015,0.990814,1.006100,1.010380,0.986744,1.009428,1.006484,1.015597
12,22/02/2015,0.991033,1.006146,1.009603,0.987349,1.009187,1.006710,1.016089
13,23/02/2015,0.989832,1.001859,1.013753,0.976962,1.010656,1.003500,1.010130
14,24/02/2015,0.989629,1.002393,1.014191,0.977476,1.010749,1.009683,1.014404
15,25/02/2015,0.988901,1.004568,1.018774,0.979115,1.011345,1.014946,1.021011
16,26/02/2015,0.993663,0.990576,1.011502,0.974911,1.006643,1.009118,1.010804
17,27/02/2015,0.995128,0.989922,1.012814,0.973684,1.005102,1.009102,1.011231
18,28/02/2015,0.995590,0.989922,1.012814,0.973928,1.004621,1.008415,1.011231
19,01/03/2015,0.997330,0.986740,1.010723,0.973174,1.002871,1.008190,1.008199
20,02/03/2015,1.000445,0.988251,1.007633,0.968910,0.999717,1.006221,1.004560
21,03/03/2015,0.995803,0.988527,1.008129,0.966590,1.004455,1.010735,1.012617
22,04/03/2015,0.995984,0.979676,1.001465,0.963982,1.004338,1.015502,1.013032
23,05/03/2015,0.999346,0.975255,1.000320,0.953853,1.001041,1.010799,1.008161
24,06/03/2015,1.005856,0.958807,0.986705,0.942489,0.994801,0.999517,0.999197
25,07/03/2015,1.006824,0.958807,0.986705,0.942489,0.993807,0.999317,0.999197
26,08/03/2015,1.005347,0.958807,0.987863,0.943321,0.995287,1.001111,1.000026
27,09/03/2015,1.010768,0.957696,0.990952,0.940751,0.989803,0.999683,0.995233
28,10/03/2015,1.008097,0.946671,0.989458,0.930468,0.992829,0.995455,0.989534
29,11/03/2015,1.011430,0.932530,0.979676,0.920371,0.989779,0.990431,0.984870
30,12/03/2015,1.010419,0.939387,0.977123,0.926199,0.990537,0.994185,0.997941
31,13/03/2015,1.011246,0.928095,0.967483,0.923712,0.990031,0.987223,0.989028
32,14/03/2015,1.011247,0.928095,0.967212,0.923853,0.990031,0.986864,0.989275
33,15/03/2015,1.011027,0.926597,0.968054,0.922565,0.990333,0.984426,0.986295
34,16/03/2015,1.011064,0.934670,0.972646,0.921604,0.990137,0.987771,0.989792
35,17/03/2015,1.010400,0.936889,0.967811,0.923501,0.990848,0.986705,0.987215
36,18/03/2015,0.999845,0.959161,0.981582,0.946591,1.000883,1.005122,1.007280
37,19/03/2015,1.005966,0.943156,0.968440,0.938327,0.995098,0.993386,0.991735
38,20/03/2015,0.999465,0.956866,0.981185,0.953099,1.001250,1.005170,1.006697
39,21/03/2015,0.999706,0.956866,0.981185,0.951267,1.001016,1.004957,1.006697
40,22/03/2015,0.999558,0.957094,0.980350,0.950077,1.001191,1.002885,1.007980
41,23/03/2015,0.997004,0.967559,0.980921,0.961387,1.003507,1.007667,1.019845
42,24/03/2015,0.997357,0.963762,0.973180,0.967829,1.003164,1.008634,1.018317
43,25/03/2015,0.995186,0.968927,0.976032,0.967013,1.005455,1.007184,1.013938
44,26/03/2015,0.992545,0.962377,0.974785,0.964202,1.008281,1.011026,1.014573
45,27/03/2015,0.992315,0.962964,0.976076,0.965385,1.008730,1.000381,1.003912
46,28/03/2015,0.992793,0.962964,0.976076,0.965385,1.008226,1.000100,1.003912
47,29/03/2015,0.993290,0.962251,0.976585,0.966168,1.007715,1.000714,1.001594
48,30/03/2015,0.999655,0.957415,0.971552,0.960036,1.001308,0.995558,0.991606
49,31/03/2015,0.999892,0.949273,0.972892,0.955256,1.001233,0.994404,0.986062
50,01/04/2015,0.996189,0.952085,0.973368,0.961188,1.004984,1.000523,0.985129
51,02/04/2015,0.997053,0.960996,0.972964,0.967426,1.003952,1.004402,0.981632
52,03/04/2015,0.996803,0.970384,0.972920,0.975628,1.003926,1.011626,0.987953
53,04/04/2015,0.991612,0.970384,0.972920,0.975628,1.009428,1.009600,0.987953
54,05/04/2015,0.989732,0.972541,0.979530,0.975382,1.011336,1.011383,0.989663
55,06/04/2015,0.995131,0.966660,0.976905,0.969466,1.005800,1.011423,0.982979
56,07/04/2015,1.001739,0.956877,0.972517,0.961785,0.999002,1.009037,0.989534
57,08/04/2015,1.000155,0.953440,0.976105,0.961238,1.000633,1.006020,0.995181
58,09/04/2015,1.004026,0.943166,0.965376,0.950592,0.996848,1.003172,0.997733
59,10/04/2015,1.001348,0.937594,0.960134,0.948747,0.999750,1.003915,0.994249
60,11/04/2015,1.001283,0.937942,0.960134,0.949300,0.999814,1.003582,0.994249
61,12/04/2015,1.001430,0.937932,0.960500,0.948544,0.999676,1.003779,0.993134
62,13/04/2015,1.000364,0.934670,0.962289,0.950368,1.000925,1.001985,0.982539
63,14/04/2015,0.995304,0.941228,0.969112,0.954726,1.005969,1.010678,0.986101
64,15/04/2015,0.992460,0.943851,0.972819,0.962583,1.008620,1.025439,0.994379
65,16/04/2015,0.991285,0.950815,0.978945,0.970976,1.009459,1.034062,1.008653
66,17/04/2015,0.990075,0.955532,0.981905,0.976551,1.010681,1.030969,1.007954
67,18/04/2015,0.990137,0.955532,0.981905,0.975321,1.010630,1.030444,1.007954
68,19/04/2015,0.989367,0.955646,0.981993,0.976140,1.011379,1.033274,1.011218
69,20/04/2015,0.992596,0.950099,0.978157,0.972155,1.008180,1.032234,1.000208
70,21/04/2015,0.996130,0.949589,0.979852,0.972868,1.004489,1.028574,0.999093
71,22/04/2015,0.998688,0.948184,0.986541,0.958015,1.001834,1.030632,1.003653
72,23/04/2015,0.995369,0.956069,0.987492,0.972155,1.005010,1.038701,1.007254
73,24/04/2015,0.990298,0.961445,0.996522,0.973888,1.010231,1.035870,1.012967
74,25/04/2015,0.991058,0.961445,0.996522,0.973888,1.009428,1.035465,1.012967
75,26/04/2015,0.990076,0.960839,0.995659,0.974052,1.010452,1.036781,1.014301
76,27/04/2015,0.991551,0.961633,0.998752,0.972247,1.008764,1.043331,1.018874
77,28/04/2015,0.988831,0.969692,1.006042,0.971149,1.011336,1.048185,1.035649
78,29/04/2015,0.989737,0.982528,1.012079,0.987664,1.010087,1.049807,1.035558
79,30/04/2015,0.993659,0.991398,1.007340,0.995178,1.006011,1.044627,1.023213
80,01/05/2015,0.993051,0.990099,1.007293,0.996245,1.006786,1.037992,1.016788
81,02/05/2015,0.999608,0.990099,1.007293,1.009402,0.999814,1.037383,1.016788
82,03/05/2015,0.999373,0.988859,0.993699,0.995071,1.000283,1.037412,1.013887
83,04/05/2015,0.999049,0.985606,0.992136,0.994688,1.000583,1.043374,1.015441
84,05/05/2015,0.997398,0.988892,0.995508,1.001629,1.002068,1.045267,1.027358
85,06/05/2015,0.992942,1.002609,0.999954,1.013256,1.006474,1.048098,1.030467
86,07/05/2015,0.995605,0.994253,1.010785,1.007595,1.003851,1.042038,1.023213
87,08/05/2015,0.996269,0.990011,1.013079,0.998817,1.003172,1.044678,1.027501
88,09/05/2015,0.996055,0.990011,1.013079,0.996031,1.003420,1.044512,1.027501
89,10/05/2015,0.996231,0.989578,1.012548,0.996973,1.003256,1.043555,1.026322
90,11/05/2015,0.999077,0.985189,1.021932,0.993793,1.000325,1.043279,1.023083
91,12/05/2015,0.996396,0.991999,1.028098,1.000409,1.002796,1.051154,1.034846
92,13/05/2015,0.990621,1.003405,1.032629,1.012759,1.008476,1.055463,1.050713
93,14/05/2015,0.990846,1.008223,1.034730,1.017642,1.008214,1.052908,1.047177
94,15/05/2015,0.991893,1.012322,1.031898,1.014729,1.007208,1.050331,1.040156
95,16/05/2015,0.992069,1.012322,1.031898,1.014729,1.007025,1.050050,1.040156
96,17/05/2015,0.992030,1.011766,1.033019,1.014640,1.007039,1.050384,1.042372
97,18/05/2015,0.996940,1.001257,1.027615,1.002916,1.002252,1.038864,1.035571
98,19/05/2015,1.003357,0.985387,1.017937,0.991036,0.996005,1.031719,1.026024
99,20/05/2015,1.007881,0.981329,1.019693,0.992095,0.991403,1.033638,1.020364
100,21/05/2015,1.006422,0.982310,1.027631,0.991184,0.992820,1.034520,1.023213
101,22/05/2015,1.010852,0.973665,1.016281,0.984522,0.988647,1.027778,1.011969
102,23/05/2015,1.010510,0.973665,1.016281,0.984522,0.989000,1.027277,1.011969
103,24/05/2015,1.010510,0.973665,1.016281,0.984522,0.989000,1.027277,1.011969
104,25/05/2015,1.011321,0.969873,1.015054,0.982232,0.988240,1.024165,1.013627
105,26/05/2015,1.022713,0.962597,1.010225,0.975833,0.977103,1.015502,1.003005
106,27/05/2015,1.028766,0.963583,1.007046,0.977795,0.971149,1.013088,1.001710
107,28/05/2015,1.029403,0.968916,1.005009,0.984836,0.970522,1.015445,0.991606
108,29/05/2015,1.031882,0.971910,1.003564,0.987916,0.968098,1.013251,0.989741
109,30/05/2015,1.031882,0.971910,1.003564,0.987916,0.968098,1.013251,0.989741
110,31/05/2015,1.031882,0.971910,1.003564,0.987916,0.968098,1.013251,0.989741
111,01/06/2015,1.037834,0.965614,0.997188,0.981712,0.962538,1.007394,0.986036
